pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(39, 62), (120, 117), (85, 177)], fitness=(0.026366489052742303,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(88, 182), (82, 28), (159, 75)], fitness=(0.02637668037818086,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(69, 184), (25, 176), (81, 25)], fitness=(0.026456625693693003,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(61, 123), (47, 75), (138, 43)], fitness=(0.026356465311277888,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(48, 156), (141, 112), (182, 41)], fitness=(0.026339515543712944,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(29, 79), (98, 65), (118, 127)], fitness=(0.02637490895014316,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(147, 162), (77, 94), (86, 13)], fitness=(0.026363174506809806,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(188, 175), (184, 147), (187, 123)], fitness=(0.02633093870993153,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(48, 172), (40, 174), (30, 40)], fitness=(0.026343842823619013,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(113, 167), (183, 122), (87, 47)], fitness=(0.026370659274049357,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(4, 5), (103, 169), (114, 183)], fitness=(0.026374501620341495,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(39, 62), (120, 117), (85, 177)], fitness=(0.026366489052742303,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(88, 182), (82, 28), (159, 75)], fitness=(0.02637668037818086,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(69, 184), (25, 176), (81, 25)], fitness=(0.026456625693693003,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(61, 123), (47, 75), (138, 43)], fitness=(0.026356465311277888,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(48, 156), (141, 112), (182, 41)], fitness=(0.026339515543712944,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(29, 79), (98, 65), (118, 127)], fitness=(0.02637490895014316,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(147, 162), (77, 94), (86, 13)], fitness=(0.026363174506809806,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(188, 175), (184, 147), (187, 123)], fitness=(0.02633093870993153,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(48, 172), (40, 174), (30, 40)], fitness=(0.026343842823619013,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(113, 167), (183, 122), (87, 47)], fitness=(0.026370659274049357,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(55, 188), (63, 80), (166, 19)], fitness=(0.026366191206190548,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(76, 193), (99, 73), (16, 19)], fitness=(0.026374970933637387,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(81, 18), (118, 74), (171, 190)], fitness=(0.02635511740585328,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(132, 184), (150, 146), (74, 32)], fitness=(0.02645129667985935,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(71, 99), (79, 193), (154, 160)], fitness=(0.02637949422762842,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(196, 178), (154, 188), (89, 107)], fitness=(0.02635728159472983,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(49, 78), (37, 105), (18, 144)], fitness=(0.026372814699192615,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(168, 173), (75, 138), (17, 104)], fitness=(0.026367631343014453,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(178, 74), (112, 68), (38, 78)], fitness=(0.026379418650338993,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(82, 11), (13, 143), (90, 187)], fitness=(0.02636808374300803,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(150, 26), (141, 46), (85, 135)], fitness=(0.026374656631594107,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.5, best_individual=[(5, 53), (97, 12), (183, 84)], fitness=(0.026350463744573505,)
