pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(5, 53), (92, 12), (183, 84)], fitness=(0.026350463734573505,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(178, 61), (129, 98), (111, 153)], fitness=(0.026380034749206027,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(143, 163), (56, 157), (14, 85)], fitness=(0.02636927307849446,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(81, 96), (126, 72), (139, 45)], fitness=(0.02637325799207635,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(79, 19), (156, 183), (59, 167)], fitness=(0.4452557649790774,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(11, 22), (156, 33), (114, 131)], fitness=(0.5617113753845793,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(127, 32), (162, 87), (161, 139)], fitness=(0.02636782143691574,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(195, 105), (173, 162), (37, 82)], fitness=(0.02632378005137992,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(175, 86), (99, 106), (60, 9)], fitness=(0.02635654747530236,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(138, 16), (116, 28), (18, 73)], fitness=(0.026377888423414486,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(143, 26), (141, 46), (85, 135)], fitness=(0.026374656631594107,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(4, 131), (69, 62), (148, 56)], fitness=(0.02636273298721048,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(87, 171), (28, 94), (108, 32)], fitness=(0.0263734911344915,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(155, 91), (111, 59), (146, 4)], fitness=(0.026326561111381097,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(76, 144), (94, 70), (24, 19)], fitness=(0.28353578952077163,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(28, 4), (71, 30), (26, 163)], fitness=(0.026361896791269657,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(187, 12), (108, 94), (9, 183)], fitness=(0.026327179156326763,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(196, 172), (12, 134), (143, 43)], fitness=(0.4032435013418838,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(67, 181), (34, 125), (166, 97)], fitness=(0.026382789392965345,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(186, 139), (153, 26), (46, 197)], fitness=(0.9878490317701224,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(164, 142), (91, 41), (12, 142)], fitness=(0.02636963852804297,)
